ID,Date,Time,Headline,News,Source,Field,Reaction/Sentiment,Polarity,Subjectivity
27892,2015-03-01,06:00:00,"The first version of Microsoft's insane holographic goggles will cost $3,000 and have these games","Today, Microsoft released a flood of new details on the first, developer-focused version of its ",journal_199,Tech,0.5627236767,0.19318181818181818,0.3939393939393939
27895,2015-03-01,06:03:00,"Microsoft Launches Pre-Orders For HoloLens Development Kit, Will Start Shipping March 30"," When Microsoft first announced HoloLens, its mixed-reality hardware platform, many of us assumed it was little more than a cool demo that was meant to stir up excitement for the company. But it was clearly more than that and starting today, Microsoft will start taking pre-orders from developers who have applied for a unit. Developers who get an invite will be able to buy a unit for $3,000 ",journal_1431,Tech,0.6520464886,0.3015625,0.4635416666666667
27896,2015-03-01,06:03:00,Microsoft HoloLens will ship to developers on March 30,"No more guesswork Microsoft HoloLens , the company's highly anticipated augmented-reality headgear finally has an official ship date: March 30th. This is good news for developers who started submitting applications to buy the $3,000 headset back in October of last year. Now, once they receive invitations, they can actually order the HoloLens Development Edition and see it shipped to them at the ",new_channel_924,Tech,0.6683984879,0.08714285714285715,0.400952380952381
27894,2015-03-01,06:04:00,Microsoft's HoloLens is now available for pre-order - CNET,The augmented reality headset will ship to developers starting March 30. ,journal_236,Tech,0.4560101568,0.0,0.1
27897,2015-03-01,06:05:00,Microsoft's HoloLens is now ready for developers,"If you're a developer, today's the day Microsoft is making good on its mixed-reality promise. Pre-orders for HoloLens, the company's augmented-reality Windows 10 headset, are now live. Invites to purchase the $3,000 device will begin to hit the inbox ",new_channel_467,Tech,0.6407089463000001,0.41818181818181815,0.55
27893,2015-03-01,06:06:00,"Microsoft to start shipping $3,000 HoloLens developer kits on March 30","Here's what's inside Microsoft's $3,000 HoloLens developer kits, which start shipping on March 30. ",new_channel_1817,Tech,0.5312600197,0.0,0.0
27949,2015-03-01,06:07:00,We just got another massive sign of how badly Saudi Arabia is suffering from the oil price crash,"Saudi Arabia, whose economy has taken a beating in recent months thanks to the crash in oil prices, just got another terrible piece of news. The amount of reserve assets held by the Saudi government now stands at $602 billion (£434.5 billion), nearly $150 billion (£108.3 billion) down from its recent peak in late 2014, just before oil prices started plummeting. REUTERS/Mohamed Al HwaityThe ",online_post_220,Finance,0.5336798902000001,-0.1650793650793651,0.42698412698412697
27964,2015-03-01,06:07:00,We just got another massive sign of how badly Saudi Arabia is suffering from the oil price crash,"Saudi Arabia, whose economy has taken a beating in recent months thanks to the crash in oil prices, just got another terrible piece of news. The amount of reserve assets held by the Saudi government now stands at $602 billion (£434.5 billion), nearly $150 billion (£108.3 billion) down from its recent peak in late 2014, just before oil prices started plummeting. REUTERS/Mohamed Al HwaityThe ",journal_195,Finance,0.4836798902,-0.1650793650793651,0.42698412698412697
27906,2015-03-01,06:09:00,Microsoft HoloLens Is Available to Software Developers,,new_channel_1573,Tech,0.5335479893999999,0.0,0.0
27907,2015-03-01,06:15:00,"You can finally pre-order Microsoft’s insane HoloLens, but the price is a doozy","Developers can now pre-order the Microsoft HoloLens Development Edition from the company for a cool $3,000. The first development kits will ship on March 30. The availability announcement arrives as a surprise just one day after HTC opened pre-orders for the Vive. Unlike HTC and Oculus, Microsoft didn’t leak its pre-order availability date early. Also unlike Oculus, and to a lesser extent HTC ",online_post_441,Tech,0.6019480321,0.175,0.44583333333333336
27917,2015-03-01,06:15:00,"You can finally pre-order Microsoft’s insane HoloLens, but the price is a doozy","Developers can now pre-order the Microsoft HoloLens Development Edition from the company for a cool $3,000. The first development kits will ship on March 30. The availability announcement arrives as a surprise just one day after HTC opened pre-orders for the Vive. Unlike HTC and Oculus, Microsoft didn’t leak its pre-order availability date early. Also unlike Oculus, and to a lesser extent HTC ",journal_416,Tech,0.5619480321,0.175,0.44583333333333336
27910,,06:23:00,Microsoft Beijing Accelerator the 7th batch Demo Day,"BEIJING, Feb. 29, 2016 /PRNewswire/ -- 18 Startup teams from the 7th batch of Microsoft Beijing Accelerator presented their innovations on the Demo Day stage, which displayed the scalability and verity of the ecosystem of innovation and entrepreneurship that Microsoft has been investing. Microsoft executives, accelerator alumni, hundreds of investors, journalists from more than 100 media ",new_channel_1124,Tech,0.6763326756999999,0.5,0.5
27912,2015-03-01,06:33:00,Rugged Cases protect Microsoft Surface 3 and Surface Pro 4.,"Featuring protected ports that prevent water and dust from entering device, rugged cases for Microsoft® Surface™ 3 and Surface™ Pro 4 are impact-resistant and pass MIL-STD-810G testing (26 drops from 4 ft). Construction is of enterprise-grade plastic, and rubber bumpers occupying each corner provide additional shock absorption.  Along with back hand strap, briefcase handle, and shoulder strap ",new_channel_1596,Tech,0.5351378051,0.0,0.0
27911,2015-03-01,06:35:00,"Microsoft HoloLens Preorders Open Today for $3,000","It’s been well over a year Microsoft first teased HoloLens, its new mixed reality headset that layers holograms over the real world. Starting today, developers can finally (!!!) preorder the futuristic augmented reality goggles. They’ll cost $3,000 and ship on March 30th. Read more ",new_channel_589,Tech,0.4893415455,0.1551948051948052,0.41969696969696973
27909,2015-03-01,06:36:00,Microsoft needs to stop forcing console-like restrictions on Windows Store PC games,"With the upcoming Quantum Break a Windows Store exclusive, users are up in arms. ",new_channel_100,Tech,0.4639324782,0.0,0.0
27908,2015-03-01,06:38:00,Microsoft Reignites Mac-PC Rivalry With New Windows 10 Ads,"Microsoft wants to make Mac users jealous with its new line of Windows 10 ads. The company uploaded a series of videos Sunday that focus on “the bug chicks,” two entemologists from Texas A&M University. With Windows Hello, Cortana and a touchscreen, the pair can design gorgeous presentations in rapid time. ",new_channel_717,Tech,0.6080784426,0.34545454545454546,0.48484848484848486
27905,2015-03-01,06:39:00,Belgium Q4 Growth Unrevised,"Belgium's economy grew at the previously estimated pace in the fourth quarter, latest data from the central bank confirmed Monday. ",new_channel_1203,Finance,0.3896875,0.14666666666666667,0.46333333333333326
27918,2015-03-01,06:51:00,"Microsoft to ship developer HoloLens for $3,000 in March","Microsoft says it will start shipping a developer version of its augmented reality device, HoloLens, for $3,000 on March 30. That's around the same time Facebook's Oculus will begin shipping the consumer ",journal_98,Tech,0.4252198571,0.0,0.125
27926,2015-03-01,06:51:00,"Microsoft to ship developer HoloLens for $3,000 in March","Microsoft says it will start shipping a developer version of its augmented reality device, HoloLens, for $3,000 on March 30. That's around the same time Facebook's Oculus will begin shipping the consumer ",new_channel_107,Tech,0.5852198571,0.0,0.125
81052,2016-03-01,09:29:00,"Monday, 29 Feb 2016","RAMALLAH, February 29, 2016 (WAFA) - The Government of Japan contributed $38.21 million to the United Nations Relief and Works Agency for Palestine Refugees in the Near East (UNRWA). ",new_channel_1,International,0.5782047194,0.1,0.4
27925,2015-03-01,07:01:00,Microsoft reveals the first HoloLens apps and games as preorders officially open," Microsoft announced on Monday that HoloLens Development Edition preorders will kick off today for $3,000. It's been over a year since the company unveiled its mixed reality device, but this is the first time that developers will be able to get their hands on a device in order to begin building software. SEE ALSO: New Raspberry Pi 3 is 10 times more powerful than the original for the same price ",new_channel_131,Tech,0.602926899,0.25767045454545456,0.5047348484848485
27924,2015-03-01,07:08:00,"Microsoft’s Recent Buyouts: A ‘Mobile-First, Cloud-First’ Strategy?","Microsoft has targeted its smartphones toward emerging markets, which are expected to witness substantial growth in smartphone adoption. ",journal_940,Tech,0.5989514565,0.0,0.0
27927,2015-03-01,07:10:00,"Microsoft announces HoloLens Development Edition, available for pre-order now","HoloLens is unquestionably one of the most exciting pieces of hardware being developed by Microsoft at the moment. The augmented reality system, or &quot;untethered holographic computer&quot; as the software giant refers to it, was first announced a year ago, but since then there’s been no word on when we can actually expect to see it. Today, however, Microsoft announces a Development Edition which is now ",online_post_168,Tech,0.47291464130000005,0.19166666666666665,0.5055555555555556
27940,2015-03-01,07:20:00,"Microsoft HoloLens Preorders Start, Bundled With Three Games And Access To 'Hundreds' Of Apps","It's the virtual reality platform that it seemed would never get a release date. Microsoft’s HoloLens developer kit, the company’s first foray into VR and augmented reality hardware, is finally available for preorder. The $3,000 kit will start shipping in the U.S. and Canada on March 30, bundled with three games, a variety of holographic experiences and documentation on how to build HoloLens ",new_channel_717,Tech,0.4758728712,0.325,0.3666666666666667
27932,2015-03-01,07:21:00,"Microsoft to ship developer HoloLens for $3,000 in March","Microsoft says it will start shipping a developer version of its augmented reality device, HoloLens, for $3,000 on March 30. ",new_channel_1759,Tech,0.529233011,0.0,0.0
27937,2015-03-01,07:37:00,Buffett says US economy weaker than he expected but growing,"Billionaire Warren Buffett said the U.S. economy appears weaker than he thought it would be as recently as last fall, but that doesn't change his optimistic long-term view of the country's prospects. Buffett ",journal_98,Finance,0.4784030393,0.0,0.06666666666666667
27948,2015-03-01,07:37:00,Buffett says US economy weaker than he expected but growing,"Billionaire Warren Buffett said the U.S. economy appears weaker than he thought it would be as recently as last fall, but that doesn't change his optimistic long-term view of the country's prospects. Buffett ",new_channel_107,Finance,0.4784030393,0.0,0.06666666666666667
27931,2015-03-01,07:38:00,Buffett says US economy weaker than he expected but growing,"OMAHA, Neb. - Billionaire Warren Buffett said the U.S. economy appears weaker than he thought it would be as recently as last fall, but that doesn't change his optimistic long-term view of the country's ",online_post_1422,Finance,0.4995318957,0.0,0.06666666666666667
27941,2015-03-01,07:42:00,Microsoft Just Reignited the PC vs. Mac Wars,New ads debuted during the Oscars ,online_post_1599,Tech,0.5708964135,0.13636363636363635,0.45454545454545453
27938,2015-03-01,07:56:00,"$3,000 Microsoft HoloLens dev kit opens for preorders, hardware specs revealed"," Microsoft is giving HoloLens developers a better sense of what $3,000 will get them as the company looks to take pre-orders for its high-tech headset. The HoloLens developer kit, which maps hologram-like images onto the real world through a transparent viewing window, will start shipping on March 30. But instead of handing out the device to anyone who can pay for it, Microsoft is using an ",online_post_1108,Tech,0.5685161108,0.35,0.4
27939,2015-03-01,08:01:00,Microsoft HoloLens Development Edition available in March,"Microsoft's HoloLens Development Edition will be available for shipping on March 30 for $3000. Microsoft's HoloLens is a Windows 10 device, and the APIs responsible for holographic computing are already available in Windows 10. Enabling holographic computing with no external cameras or wires, it does not require a phone or PC connection. ",journal_25,Tech,0.47955611530000003,0.25,0.36250000000000004
27955,2015-03-01,08:01:00,Microsoft HoloLens Development Edition available in March,Microsoft's HoloLens Development Edition will be available for shipping on March 30 for $3000. ,online_post_32,Tech,0.6424063306000001,0.4,0.4
27950,2015-03-01,08:13:00,Recovery is leaving too many behind: NUL president,The economy may be recovering but the president of the National Urban League says it's leaving too many neighborhoods behind. ,new_channel_247,Finance,0.5239087535,0.033333333333333326,0.39999999999999997
27953,2015-03-01,08:23:00,Recovery is leaving too many behind: NUL president,The economy may be recovering but the president of the National Urban League says it's leaving too many neighborhoods behind. ,online_post_256,Finance,0.4339087535,0.033333333333333326,0.39999999999999997
27954,2015-03-01,08:31:00,The recovery is leaving some behind,The economy may be recovering but the president of the National Urban League says it's leaving too many neighborhoods behind. ,online_post_256,Finance,0.48961820729999994,0.033333333333333326,0.39999999999999997
27951,2015-03-01,08:40:00,"Microsoft reveals March 30 ship date for HoloLens kit, along with hardware specs","Microsoft ( MSFT - unchanged) has begun taking pre-orders for its $3,000 HoloLens developer kit, and will begin shipping it on March 30. The kit comes with a handful of initial apps, including a Skype app, a 3D modeling app called HoloStudio, and HoloTour, an app that provides 3D virtual trips to global landmarks. ",new_channel_1284,Tech,0.3844684218,0.0,0.0
27956,2015-03-01,08:48:00,Microsoft ads target Apple by claiming Windows 10 PCs 'Do More' than Macs,"Microsoft has launched a new campaign for Windows 10 PCs, directly targeting Apple Macs. The ",journal_199,Tech,0.37697437149999996,0.11818181818181818,0.42727272727272725
27966,2015-03-01,09:03:00,Microsoft promises to fix Windows Store V-Sync issues,"Although Microsoft is making great strides in unifying its console and PC platforms into a single ecosystem, not everyone is especially happy about the push to use the Windows Store to sell games. In particular, the way the games launch through the Store, rather than the .exe file, and the lack of V-sync, has irked customers. Fortunately Microsoft has now pledged to fix that issue, with the head ",journal_416,Tech,0.3893438221,0.4590476190476191,0.5995238095238096
27967,2015-03-01,09:03:00,"Microsoft ads target Apple by claiming Windows 10 PCs 'Do More' than Macs (AAPL, MSFT)"," Microsoft has launched a new campaign for Windows 10 PCs, directly targeting Apple Macs. The videos feature two teachers — known as &quot; The Bug Chicks &quot; — being impressed by several new Windows PC features, which do not exist on Mac. The attributes missing from Apple Macs, which are wired into the new PCs, include a voice search assistant, a face recognition login, and a touchscreen, the ads ",online_post_218,Tech,0.3242970783,0.18701298701298702,0.40194805194805194
27971,2015-03-01,09:03:00,Microsoft promises to fix Windows Store V-Sync issues,"Although Microsoft is making great strides in unifying its console and PC platforms into a single ecosystem, not everyone is especially happy about the push to use the Windows Store to sell games. In particular, the way the games launch through the Store, rather than the .exe file, and the lack of V-sync, has irked customers. Fortunately Microsoft has now pledged to fix that issue, with the head ",online_post_441,Tech,0.40934382210000003,0.4590476190476191,0.5995238095238096
27958,2015-03-01,09:10:00,Microsoft’s HoloLens is not for you (yet),"Today Microsoft HoloLens was released for purchase - sort of - for developers, in a kit that's made strictly for those that plan on making software for the device. This version of Microsoft HoloLens is not meant to compete with the other virtual reality headsets being revealed and/or released in the next several weeks. The Oculus Rift, for example, has … Continue reading ",journal_1341,Tech,0.4257920081,-0.041666666666666664,0.125
27959,,09:17:00,"Microsoft ads target Apple by claiming Windows 10 PCs 'Do More' than Macs (AAPL, MSFT)"," Microsoft/YouTube Microsoft has launched a new campaign for Windows 10 PCs, directly targeting Apple Macs. The videos feature two teachers — known as &quot; The Bug Chicks &quot; — being impressed by several new Windows PC features, which do not exist on Mac. The attributes missing from Apple Macs, which are wired into the new PCs, include a voice search assistant, a face recognition login, and a ",online_post_218,Tech,0.3226955293,0.18701298701298702,0.40194805194805194
80842,2015-03-01,09:24:00,Obama faces pivotal week in SCOTUS fight,President Barack Obama's hard road to fill a vacancy on the Supreme Court faces a pivotal week. ,journal_1805,Politics,0.5292674458,0.10416666666666666,0.6708333333333334
80846,2015-03-01,09:35:00,Obama faces pivotal week in SCOTUS fight,"President Barack Obama's hard road to fill a vacancy on the Supreme Court faces a pivotal week. Interest groups on the right and left are ramping up for a protracted fight, and the President will sit down with his Republican adversaries who have vowe ",journal_1778,Politics,0.5293941767,0.06769841269841267,0.4332539682539682
27973,2015-03-01,09:44:00,"Microsoft to ship developer HoloLens for $3,000 in March","Microsoft says it will start shipping a developer version of its augmented reality device, HoloLens, for $3,000 on March 30. That's around the same time Facebook's Oculus will begin shipping the consumer version of its Rift virtual-reality headset for $600. HoloLens differs from the Oculus Rift ",journal_292,Tech,0.428575716,0.0,0.125
27972,2015-03-01,09:48:00,Microsoft HoloLens Developer Headset Starts Shipping Next Month for $3000," Microsoft is getting its HoloLens Augmented Reality (AR) headset into the hands of  developers next month: HoloLens will start shipping in limited quantities to developers on March 30, the company announced Monday. However, the headset won’t exactly come cheap: The HoloLens developer edition will sell for a whopping $3000. Qualified developers can start pre-ordering the device now Read more » ",online_post_1669,Tech,0.5163678647,0.21571428571428575,0.31857142857142856
27974,2015-03-01,09:53:00,"First Hololens kit to cost $3,000","Microsoft starts taking orders for the developers' edition of its Hololens headset - at $3,000 each. ",online_post_145,Tech,0.5448678503000001,0.0,0.0
27985,2015-03-01,10:13:00,Microsoft Azure blockchain partner Manifold sees next generation of rewards for retail banking,"Manifold Technology has realised the friction within banking rewards programmes is just a symptom of a widespread disease affecting the reconciliation of internal accounts at large financial institutions. It's a malaise blockchains can cure, believes Chris Finan, CEO, Manifold Technology, which is one of the blockchain partners chosen to be part of the Microsoft Azure BaaS cloud offering. Core ",journal_737,Tech,0.5349494156,0.07142857142857142,0.14285714285714285
27979,2015-03-01,10:15:00,Microsoft’s HoloLens will ship to developers by March 30,The company is banking on the augmented-reality technology to catch on with developers and lead to commercial success. ,new_channel_1281,Tech,0.5064653836,0.15,0.0
